Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
127.0.0.1-127.0.0.1-40599-8080-6,127.0.0.1,40599,127.0.0.1,8080,6,19/09/2025 08:29:53 PM,38,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,78947.36842105263,19.0,12.727922061357855,28.0,10.0,38.0,19.0,12.727922061357855,28.0,10.0,0,0,0,0,0,0,0,0,0,64,0,78947.36842105263,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1480,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
127.0.0.1-127.0.0.1-40599-8080-6,127.0.0.1,40599,127.0.0.1,8080,6,19/09/2025 08:29:53 PM,55,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,54545.454545454544,27.5,20.506096654409877,42.0,13.0,55.0,27.5,20.506096654409877,42.0,13.0,0,0,0,0,0,0,0,0,0,64,0,54545.454545454544,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1480,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
127.0.0.1-127.0.0.1-40599-8080-6,127.0.0.1,40599,127.0.0.1,8080,6,19/09/2025 08:29:53 PM,56,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,53571.42857142857,28.0,19.79898987322333,42.0,14.0,56.0,28.0,19.79898987322333,42.0,14.0,0,0,0,0,0,0,0,0,0,64,0,53571.42857142857,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1480,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
127.0.0.1-127.0.0.1-40599-8080-6,127.0.0.1,40599,127.0.0.1,8080,6,19/09/2025 08:29:53 PM,78,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,38461.53846153846,39.0,26.870057685088806,58.0,20.0,78.0,39.0,26.870057685088806,58.0,20.0,0,0,0,0,0,0,0,0,0,64,0,38461.53846153846,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1480,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
127.0.0.1-127.0.0.1-40599-8080-6,127.0.0.1,40599,127.0.0.1,8080,6,19/09/2025 08:29:53 PM,69,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,43478.260869565216,34.5,24.748737341529164,52.0,17.0,69.0,34.5,24.748737341529164,52.0,17.0,0,0,0,0,0,0,0,0,0,64,0,43478.260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1480,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
127.0.0.1-127.0.0.1-40599-8080-6,127.0.0.1,40599,127.0.0.1,8080,6,19/09/2025 08:29:53 PM,91,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,32967.03296703297,45.5,23.33452377915607,62.0,29.0,91.0,45.5,23.33452377915607,62.0,29.0,0,0,0,0,0,0,0,0,0,64,0,32967.03296703297,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1480,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
127.0.0.1-127.0.0.1-40599-8080-6,127.0.0.1,40599,127.0.0.1,8080,6,19/09/2025 08:29:53 PM,97,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,30927.835051546394,48.5,30.405591591021544,70.0,27.0,97.0,48.5,30.405591591021544,70.0,27.0,0,0,0,0,0,0,0,0,0,64,0,30927.835051546394,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1480,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
127.0.0.1-127.0.0.1-40599-8080-6,127.0.0.1,40599,127.0.0.1,8080,6,19/09/2025 08:29:54 PM,49,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,61224.48979591837,24.5,17.67766952966369,37.0,12.0,49.0,24.5,17.67766952966369,37.0,12.0,0,0,0,0,0,0,0,0,0,64,0,61224.48979591837,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1480,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
127.0.0.1-127.0.0.1-40599-8080-6,127.0.0.1,40599,127.0.0.1,8080,6,19/09/2025 08:29:54 PM,56,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,53571.42857142857,28.0,19.79898987322333,42.0,14.0,56.0,28.0,19.79898987322333,42.0,14.0,0,0,0,0,0,0,0,0,0,64,0,53571.42857142857,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1480,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
127.0.0.1-127.0.0.1-40599-8080-6,127.0.0.1,40599,127.0.0.1,8080,6,19/09/2025 08:29:54 PM,66,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,45454.54545454545,33.0,28.284271247461902,53.0,13.0,66.0,33.0,28.284271247461902,53.0,13.0,0,0,0,0,0,0,0,0,0,64,0,45454.54545454545,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1480,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
